,N-Number,Registered
100334,N904WN,2008-01-11
100589,N909DE,1992-11-10
100947,N510UA,1990-06-13
101170,N933WN,2009-04-07
101178,N12924,2000-09-24
101217,N441UA,1998-01-06
101282,N27962,1999-02-06
101326,N805UA,1998-02-13
101334,N961WN,2011-07-26
101427,N569AS,2007-03-04
101443,N426UA,1995-04-10
101444,N428UA,1995-05-19
101456,N125UW,2009-11-10
101490,N226WN,2005-11-30
101509,N437UA,1996-04-15
101515,N438UA,1997-07-07
101532,N447UA,1998-08-03
101547,N456UA,1999-12-27
101548,N457UA,2000-02-16
101580,N399WN,1995-02-23
101583,N540UW,2009-12-11
101731,N419UA,1994-10-31
101925,N597AA,1992-06-24
102248,N470UA,2001-04-06
102293,N16147,2003-09-11
102333,N632VA,2007-06-13
102416,N645JB,2006-10-06
102436,N927DA,1988-10-20
102468,N586JB,2004-02-18
102508,N523JB,2001-07-24
102593,N13113,1995-04-07
102754,N436WN,2003-06-26
102792,N36915,2001-04-25
102882,N17244,1999-11-01
102984,N12157,2004-02-21
103153,N575AA,1963-03-06
103524,N716SW,1998-06-30
103563,N66057,2002-01-04
103655,N569JB,2003-09-30
103677,N579JB,2003-12-09
103793,N584JB,2004-01-15
103849,N439WN,2003-07-29
103876,N907DE,1992-10-14
103877,N492UA,2002-05-16
104091,N602AW,2009-05-05
104127,N915DE,1993-02-27
104248,N968DL,1991-01-09
104424,N802UA,1997-07-07
104676,N599JB,2004-12-30
104723,N524JB,2001-12-19
104742,N364NB,2003-08-07
104815,N929DL,1988-11-09
104938,N930DL,1988-11-09
104954,N803AW,1999-01-04
105017,N496AA,1989-08-08
105215,N439AA,1993-03-19
105217,N488AA,1989-01-20
105218,N494AA,1989-02-14
105265,N916EV,2003-03-13
105278,N969DL,1991-01-17
105310,N7716A,2005-10-06
105711,N948DN,2013-05-23
106223,N622VA,2007-06-26
106254,N37263,2001-07-30
106342,N370SW,1993-07-02
106477,N243WN,2006-06-17
106510,N522UA,1990-10-19
106945,N918DE,1993-09-14
107045,N307DQ,2009-01-18
107219,N970DL,1991-01-18
107447,N332NW,1992-06-22
107499,N17169,2004-09-02
107536,N153PQ,2007-12-19
107936,N682DA,1993-01-15
108280,N10575,2002-09-28
108369,N521VA,2006-05-16
108459,N895AT,2005-01-20
108987,N919DE,1993-10-08
109100,N435AS,2013-10-28
109283,N582CA,2008-04-10
109398,N311US,1990-12-13
109399,N319US,1991-07-29
109400,N325US,1992-03-19
109488,N37419,2008-03-23
109549,N695CA,2007-12-06
109617,N906DL,1988-08-05
109624,N912DL,1987-12-30
109652,N78004,1998-11-19
109730,N33182,2005-04-28
109815,N15712,1998-09-23
109845,N431AS,2013-10-08
110150,N502UA,1989-09-14
110267,N663SW,1986-11-11
110284,N424AA,1986-11-01
110405,N37273,2001-12-02
110610,N658UA,1993-03-02
110676,N660UA,1993-05-14
110795,N661UA,1993-07-28
110823,N905DL,1987-03-27
110827,N36280,2003-12-16
110836,N662UA,1993-08-28
110880,N408AS,2012-12-17
110936,N78285,2004-07-19
110987,N580JB,2004-02-24
111042,N353NB,2002-11-20
111063,N593JB,2004-10-15
111169,N747SA,1999-06-29
111593,N508AY,2008-12-20
111702,N772SW,2000-07-06
112693,N931DL,1988-11-25
112865,N484AA,1988-12-15
112958,N570AA,1987-07-09
112998,N933DL,1989-03-06
112999,N934DL,1989-03-09
113378,N804AW,1999-08-30
113412,N805AW,1999-08-30
113662,N653UA,1992-10-26
113809,N660SW,1985-05-23
113827,N493AA,1989-02-08
113894,N924WN,2008-06-26
113974,N768SW,2000-06-07
115081,N771SA,2000-06-29
115659,N411UA,1994-06-01
115991,N11164,2004-06-12
116138,N612DL,1985-10-15
116147,N105UW,1999-08-30
116795,N775SW,2000-07-24
116914,N21130,2005-02-25
117096,N803UA,1997-12-15
117235,N891AT,2004-04-29
117311,N902DE,1992-03-20
117369,N550WN,2007-04-14
117687,N920DL,1988-05-24
117696,N922DL,1988-06-07
117700,N924DL,1988-07-15
117989,N942DL,1989-07-08
117990,N945DL,1989-08-12
117991,N946DL,1989-09-06
117992,N947DL,1989-12-13
118076,N315US,1991-04-18
118087,N73259,2001-05-22
118332,N836UA,2001-05-11
118375,N655DL,1990-02-22
118428,N454AA,1988-03-30
118452,N73299,2005-11-29
118759,N516UA,1990-08-24
118953,N923DL,1988-07-05
118980,N735SA,1999-08-23
119238,N13118,2005-02-25
119247,N971DL,1991-02-14
119320,N272WN,2007-03-29
119344,N476AA,1988-10-26
119448,N57439,2009-08-07
119511,N951DL,1990-02-15
119513,N953DL,1990-03-10
119514,N956DL,1990-04-17
119687,N487AA,1989-01-17
119692,N481UA,2002-02-04
119802,N944DL,1989-08-05
119824,N608AT,2010-02-19
119980,N790SW,2000-12-02
120161,N367NW,1999-05-17
120197,N631AW,1990-02-01
120233,N792SW,2000-12-18
120238,N943DL,1989-07-22
120301,N501AA,1989-10-21
120306,N604AW,2000-07-05
120333,N978DL,1991-04-18
120406,N505UA,1989-11-13
120541,N670DN,1991-12-20
120635,N236JB,2006-06-30
120649,N33262,2001-07-22
120745,N624AW,1989-10-16
120774,N651UA,1993-06-29
120778,N21197,2006-01-12
120823,N358SW,1992-06-01
120929,N415UA,1995-01-12
120930,N421UA,1995-01-12
121013,N738CB,1999-08-31
121196,N12116,1996-03-27
121349,N672DL,1992-02-21
121508,N11193,2005-10-20
121760,N203UW,2006-05-23
122078,N958DL,1990-04-19
122173,N674DL,1992-03-25
122316,N984DL,1991-09-17
122546,N989DL,1991-11-18
122547,N992DL,1991-12-05
122548,N995DL,1992-01-09
122549,N996DL,1992-01-22
122645,N78005,1998-12-03
122722,N329NW,1992-05-18
122760,N330NW,1992-06-22
122786,N14231,1999-06-18
123026,N34460,2012-11-02
123164,N576UA,1993-02-17
123409,N69020,2007-04-11
123579,N76055,2001-02-20
123588,N625SW,1996-04-23
124318,N643UA,1991-05-24
124545,N26210,1998-06-22
124730,N333NW,1992-08-18
124736,N8660A,2015-02-09
124849,N8646B,2014-08-15
124879,N8648A,2014-09-05
124886,N8650F,2014-09-27
124981,N8634A,2014-06-13
125026,N8638A,2014-07-09
125154,N979DL,1991-05-09
125229,N796SW,2001-02-26
125242,N536JB,2002-06-26
125480,N549UA,1992-01-21
125513,N336NW,1993-01-11
125636,N340NW,1996-07-19
125726,N344NW,1993-03-23
125742,N195PQ,2008-12-18
125786,N345NW,1996-07-10
126048,N565AA,1987-06-11
126116,N560AA,1991-05-23
126161,N352NB,2002-11-20
126197,N679DA,1992-11-12
126334,N640JB,2006-07-13
126360,N980DL,1991-05-13
126448,N107US,1999-08-03
126515,N320US,1991-10-16
126557,N582AA,1991-07-24
126741,N21108,1994-11-07
126807,N371SW,1993-07-13
126808,N372SW,1993-07-21
126809,N394SW,1994-09-12
126810,N396SW,1994-11-08
126896,N184US,2002-03-15
126976,N901DE,1992-03-18
126977,N913DE,1993-01-24
127205,N183UW,2001-08-02
127412,N39416,2008-02-21
127570,N751SW,1999-09-16
127672,N323US,1992-02-24
127715,N550UA,1992-02-11
127871,N595AA,1992-04-09
128074,N994AT,2002-10-11
128261,N11194,2005-11-10
128310,N286WN,2004-07-13
128545,N910DE,1992-11-18
128549,N911DE,1992-12-15
128566,N598UA,1999-01-22
128574,N734SA,1999-07-22
128633,N403AS,2012-11-06
128640,N649AW,1998-05-11
128916,N459UA,2000-04-28
128947,N200PQ,2008-12-18
129213,N920DE,1993-11-06
129394,N409UA,1994-04-08
129412,N839AW,2006-02-02
129681,N713UW,1999-08-30
129737,N412UA,1994-06-24
129813,N379SW,1994-02-22
129843,N905DA,1995-04-22
129859,N11150,2003-10-23
129966,N37420,2008-04-03
129985,N47414,2008-01-23
130212,N48127,1998-02-24
130218,N29129,1998-03-25
130348,N416UA,1994-10-31
130358,N392SW,1994-09-07
130709,N653JB,2007-02-16
130782,N608SW,1995-08-29
131074,N828UA,1999-06-25
131117,N247WN,2006-07-09
131318,N641SW,1996-12-20
131637,N12540,2001-12-07
131800,N638SW,1996-10-04
131920,N559WN,2014-11-25
132127,N801AW,1998-10-20
132326,N920AT,2001-01-29
132737,N14153,2003-12-12
132803,N916DE,1993-05-14
132855,N180US,2001-07-12
132924,N906AT,2001-04-12
133208,N986AT,2001-06-11
133291,N11176,2005-01-14
133383,N340NB,2002-04-30
133468,N845UA,2002-01-23
133522,N456WN,2004-04-10
134134,N585AA,1991-08-22
134137,N489AA,1989-01-27
134345,N970UY,2009-05-29
134377,N457WN,2004-04-08
134803,N247JB,2006-08-22
134935,N722US,1999-11-04
135244,N461UA,2000-09-05
135804,N75425,2008-06-29
136021,N497UA,2002-10-08
136083,N192JB,2005-12-16
136165,N697SW,1988-03-02
136235,N620SW,1996-01-11
136664,N14158,2004-03-13
137105,N463UA,2000-09-22
137140,N386SW,1994-06-27
137192,N952DL,1990-02-28
137364,N836AW,2005-10-13
137434,N472UA,2001-05-11
137483,N634SW,1996-08-05
137535,N473AA,1988-10-07
137563,N348NW,1996-07-09
137621,N637SW,1996-10-03
137622,N169UW,2001-04-06
137817,N18101,2005-02-25
138313,N641JB,2006-08-03
138526,N667UA,1998-08-31
138534,N346SW,1989-03-27
139420,N755SA,1999-11-11
139443,N435UA,1996-10-03
139602,N313US,1991-03-27
139659,N239WN,2006-05-26
139690,N841AS,1999-03-26
139691,N740UW,2000-07-26
139710,N853AS,2000-06-20
140081,N917WN,2008-04-01
140090,N749SW,1999-08-12
140117,N840AW,2006-02-14
140953,N37274,2002-01-31
140992,N653AW,1999-06-21
141186,N564JB,2003-07-01
141501,N440UA,1997-08-13
141728,N444UA,1998-06-12
141831,N649SW,1997-06-07
142372,N493WN,2004-12-01
142492,N197PQ,2008-12-18
142615,N843UA,2001-12-06
143626,N37409,2001-11-15
143718,N75410,2001-12-04
143719,N31412,2002-04-14
143768,N202WN,2005-02-17
143810,N467AA,1988-09-09
144091,N161UW,2001-02-12
144103,N804UA,1998-02-17
144132,N451WN,2004-02-25
144351,N23708,1998-05-29
144369,N26215,1998-08-01
144385,N19117,1996-04-24
144593,N449UA,1998-08-24
144992,N407AS,2012-12-06
145308,N771UA,1995-11-22
145467,N177DZ,1999-05-05
145583,N15710,1998-08-30
145597,N302NB,2000-01-18
145791,N913WN,2008-03-02
146077,N798SW,1998-05-13
146223,N339NW,1996-07-18
146269,N14179,2005-03-11
146397,N455AA,1988-04-02
146424,N448UA,1998-08-03
146589,N978UY,2012-12-27
146815,N548UA,1992-01-30
146983,N7719A,2005-12-20
147087,N807UA,1998-04-14
147250,N652SW,1997-08-08
147504,N989AT,2002-05-09
147516,N810UA,1998-08-03
147523,N363NB,2003-07-01
147590,N404WN,2001-06-27
147622,N932DL,1989-03-19
147625,N529VA,2014-05-01
147656,N407WN,2001-07-26
147668,N409WN,2001-12-19
147811,N416WN,2001-11-01
147830,N359NB,2003-03-26
147895,N73270,2001-10-08
147915,N417WN,2001-11-08
147971,N419WN,2001-12-03
147978,N420WN,2002-01-07
148079,N407UA,1994-06-24
148088,N427WN,2002-04-24
148112,N334NW,1996-07-12
148265,N435WN,2003-06-01
148298,N491UA,2002-07-17
148354,N77012,1999-08-02
148373,N123UW,2000-11-06
148509,N824AW,2001-06-05
148620,N431WN,2002-12-19
148639,N709SW,2000-01-17
148740,N39726,1999-07-09
148786,N453UA,1999-04-27
148876,N740SW,1998-11-30
148933,N37413,2008-01-12
148980,N362NW,1999-01-04
148999,N24128,2005-02-25
149011,N704US,1999-01-04
149207,N821UA,1999-02-04
149217,N27190,2005-09-01
149229,N894AT,2004-11-18
149270,N249JB,2006-11-15
149279,N16954,1998-08-15
149292,N760JB,2008-10-28
149530,N822UA,1999-02-26
149544,N944WN,2010-03-22
149799,N667AW,2002-03-26
149925,N578AA,1991-07-06
149946,N652AW,1999-03-15
149971,N12201,2006-04-20
150002,N478UA,2001-12-19
150041,N434AA,1992-12-29
150154,N603SW,1995-04-21
150156,N12552,2002-04-13
150294,N387SW,1994-06-29
150338,N13969,1999-06-25
150378,N732US,2000-04-28
150715,N13970,1999-06-26
150742,N433UA,1996-07-17
150856,N708JB,2008-04-24
150905,N432WN,2003-03-20
150962,N598AA,1992-07-17
150963,N334NB,2002-03-15
150973,N588JB,2004-07-07
151105,N988DL,1991-10-18
151562,N701UW,1998-11-09
151671,N109UW,1999-09-27
151899,N368NW,1999-06-21
151921,N369NW,1999-06-25
151963,N196UW,2009-04-24
151972,N15973,1999-08-06
151977,N793SA,2001-01-10
152175,N967AT,2001-09-19
152334,N6700,1999-09-24
152365,N631SW,1996-06-10
152537,N707SA,1998-10-30
152685,N179UW,2001-07-12
153015,N16981,1999-12-19
153072,N12218,1998-08-13
153222,N848AS,1999-11-17
153315,N477AA,1988-11-02
153456,N656AW,1999-10-20
153584,N16976,1999-09-25
153622,N76064,2002-04-16
153646,N18243,1999-10-25
153700,N537JB,2012-11-30
153758,N76065,2002-05-01
153776,N655AW,1999-10-12
153820,N371NW,2001-12-19
153849,N647UA,1992-04-05
153913,N436UA,1997-01-10
153945,N11155,2004-01-30
154102,N443WN,2003-09-02
154386,N13248,1999-12-03
154789,N16987,2000-05-13
154870,N3740C,2000-12-19
154873,N458WN,2004-04-22
154874,N461WN,2004-05-24
154895,N470WN,2004-06-24
