,N-Number,Registered
300945,N7820L,2015-07-22
301724,N950DL,1990-02-10
301833,N958WN,2011-05-25
302312,N952WN,2010-11-23
303190,N210WN,2005-04-13
303293,N233LV,2006-03-11
303294,N999DN,1992-02-06
303728,N138EV,2009-05-21
304124,N206WN,2005-03-23
304234,N37018,2002-04-10
304307,N861AS,2000-12-20
304407,N664AW,2002-02-11
304712,N606LR,2008-04-25
305272,N837VA,2011-01-22
305848,N324JB,2010-10-26
306154,N981UY,2013-10-29
306165,N853VA,2012-03-03
306269,N838VA,2011-01-26
306286,N639VA,2010-11-22
306364,N789JB,2011-03-08
306365,N807JB,2012-10-18
307078,N533AS,2011-01-24
309697,N69806,2013-10-21
310235,N317WN,1999-06-04
310237,N657SW,1995-12-12
310586,N840VA,2011-03-19
310638,N38443,2010-12-20
311346,N479AS,2015-07-15
311713,N7822A,2015-01-09
312151,N68805,2013-09-27
312397,N366SW,1993-05-05
312476,N14162,2004-05-12
312649,N400WN,2001-03-26
312710,N24706,1998-05-19
313070,N12135,2005-02-25
313374,N763SW,2000-04-20
313425,N607LR,2008-05-16
313545,N481AS,2015-08-15
313782,N793JB,2011-04-08
314173,N839VA,2011-03-09
314204,N549UW,2011-11-29
314748,N951DN,2013-09-12
314750,N960DN,2012-08-11
315027,N76528,2011-08-12
315546,N73445,2011-04-25
315790,N68453,2012-05-29
318278,N37456,2012-09-13
319048,N826DN,2014-08-08
320494,N37468,2013-02-18
321264,N738EV,2004-06-10
321321,N237WN,2006-04-26
321411,N730SW,1999-05-27
321798,N14117,2005-02-25
321887,N7726A,2012-04-25
323552,N440AS,2013-11-13
324491,N328JB,2011-03-23
324960,N842VA,2011-08-23
325218,N8312C,2012-06-22
325226,N8318F,2012-08-17
325227,N8319F,2012-08-27
325228,N8321D,2012-09-25
325229,N8322X,2012-09-27
325246,N369SW,1993-05-21
325252,N422WN,2002-03-21
325256,N8323C,2012-10-31
325332,N535UW,2009-07-31
325364,N843VA,2011-10-01
325387,N534UW,2009-07-31
325676,N969WN,2011-12-18
325873,N7721E,2006-02-13
325995,N8305E,2012-04-20
326460,N544UW,2011-09-23
326537,N543UW,2011-09-24
326557,N845VA,2011-10-14
326845,N844VA,2011-10-01
327158,N453AS,2014-01-06
327268,N599AA,1992-07-17
327302,N706SW,1998-05-30
327528,N68811,2014-01-19
327584,N87513,2008-06-27
327612,N13903,2001-09-02
327943,N8615E,2013-09-16
327949,N8610A,2013-02-22
327951,N8612K,2013-03-26
328181,N607AT,2009-11-20
328206,N67812,2014-01-22
328380,N78448,2012-02-22
328971,N973UY,2011-10-20
329422,N962DN,2012-04-05
329836,N8313F,2012-06-28
329903,N851VA,2012-02-01
330045,N848VA,2011-12-23
331506,N7814B,2014-02-15
331511,N554UW,2011-12-31
331748,N814UA,1998-08-24
331910,N763US,2000-12-14
331930,N907DL,1987-05-16
332143,N282WN,2007-07-14
332231,N33294,2005-08-19
333209,N150UW,2013-03-26
333210,N151UW,2013-03-26
333211,N152UW,2013-05-18
333212,N154UW,2013-06-14
333444,N553UW,2011-12-16
333493,N155UW,2013-06-21
333494,N157UW,2013-07-18
333869,N821JB,2012-12-18
333880,N827JB,2013-07-11
334005,N852VA,2012-02-07
334062,N8603F,2012-06-06
335281,N849VA,2012-01-27
335474,N557UW,2012-08-29
335495,N303DQ,2008-09-04
335579,N62884,2015-06-28
335580,N61887,2015-08-15
335599,N63890,2015-09-15
335600,N68891,2015-10-03
335603,N62892,2015-10-13
335984,N477AS,2015-06-13
336122,N641VA,2010-10-04
336607,N76021,2010-07-20
336750,N948WN,2010-06-04
336752,N711HK,1998-10-21
336930,N642VA,2010-10-20
336966,N854VA,2012-03-21
337199,N81449,2012-03-25
337351,N26910,2014-03-17
337836,N938DN,2013-02-07
338031,N640VA,2010-11-04
338541,N63820,2014-03-26
338797,N945WN,2010-03-31
338897,N76523,2010-08-24
338955,N530VA,2014-08-08
339158,N669UA,1999-06-24
339165,N827UA,1999-06-21
339342,N548AS,2005-06-30
339359,N67134,2005-04-18
339366,N23721,1999-03-09
339368,N33132,1998-07-29
339369,N76254,2000-09-27
339371,N53442,2009-09-10
339372,N24729,1999-07-27
339382,N77518,2008-12-28
339393,N62849,2015-04-16
339444,N526AS,2009-04-02
339555,N464AS,2014-05-16
339691,N835VA,2010-09-28
339713,N552WN,2010-12-06
339852,N719SW,1998-08-05
340446,N570JB,2003-12-09
340602,N569AA,1987-07-10
340653,N68817,2014-03-02
341072,N558WN,2015-02-28
341167,N57864,2001-10-11
341433,N782SA,2000-09-29
341444,N59053,2000-10-06
341525,N441WN,2003-08-09
341526,N440LV,2003-08-05
341601,N347NW,1996-10-31
341735,N375SW,1993-09-07
341774,N442WN,2003-08-25
341809,N77431,2009-01-29
342267,N444WN,2003-09-12
342380,N677AW,2005-05-07
342641,N524VA,2007-08-09
343138,N33209,2000-08-30
343207,N974DL,1991-03-07
343208,N73291,2004-11-21
343520,N14107,1994-10-14
343523,N17139,2000-02-03
343524,N26123,1997-12-12
343525,N29124,1998-01-16
343527,N78017,2002-03-07
343567,N342NB,2002-06-27
343627,N583AS,2007-08-12
343794,N231JB,2006-06-13
343836,N985DL,1991-09-17
344063,N370NB,2004-02-24
344207,N371NB,2004-02-24
344406,N479WN,2004-08-21
344494,N468WN,2004-06-23
344496,N7702A,2012-04-25
344901,N368NB,2003-12-09
345093,N14219,1998-08-26
345111,N34282,2004-01-23
345149,N590JB,2004-06-28
345164,N965AT,2001-08-01
345673,N14235,1999-08-09
345838,N601AW,2004-05-28
345870,N76504,2006-08-25
345887,N418UA,1994-10-31
345975,N469UA,2001-03-15
346136,N354JB,2013-03-04
346164,N552AS,2006-02-22
346335,N11551,2002-04-12
346668,N801UA,1997-07-07
346739,N469AS,2014-08-14
346929,N359NW,1998-08-03
347157,N78866,2002-03-26
347315,N796UA,1998-01-27
347455,N260WN,2006-11-19
347468,N11191,2005-09-15
347858,N131EV,2009-01-30
347973,N357NB,2003-03-26
347997,N928AT,2000-09-13
348423,N731SA,1999-07-09
348455,N68822,2014-04-16
348711,N34110,2005-02-25
348773,N21154,2003-12-12
348836,N38268,2001-09-25
348837,N76269,2001-10-05
348880,N988AT,2002-04-16
348903,N317NB,2000-10-16
348980,N11535,2001-10-12
349196,N704SW,1999-02-25
349401,N66825,2014-05-15
349498,N557WN,2000-11-06
349533,N820AW,2001-02-12
349646,N715JB,2008-07-18
349758,N316JB,2009-07-23
349857,N626VA,2006-07-12
349969,N337JB,2011-09-21
350033,N563WN,2015-03-05
350152,N951AT,2000-04-29
350155,N519JB,2001-03-01
350172,N66828,2014-06-17
350184,N69833,2014-09-10
350185,N69838,2014-01-12
350506,N212WN,2005-05-12
350754,N57857,2004-02-20
350882,N11547,2002-02-09
350995,N723EV,2004-01-23
351030,N941WN,2009-07-08
351102,N184JB,2005-10-24
351530,N13161,2004-05-01
351597,N69839,2014-12-18
351755,N69824,2014-05-06
351778,N13553,2002-04-19
351854,N198JB,2006-02-22
351856,N12167,2004-07-30
351926,N672AW,2004-05-20
351985,N537UW,2009-09-30
352079,N539UW,2009-10-31
352123,N757LV,1999-11-29
352149,N11127,2005-02-25
352343,N323NB,2001-04-06
352344,N325NB,2001-06-05
352407,N846VA,2011-11-16
352483,N642UA,1991-05-08
352757,N545UW,2011-09-30
352774,N546UW,2011-10-25
352951,N528VA,2012-06-04
352958,N974UY,2011-10-29
353008,N375JB,2013-10-30
353213,N637VA,2008-04-17
353307,N975UY,2011-12-03
353344,N963AT,2001-06-08
353410,N460WN,2004-05-07
353499,N551UW,2011-12-08
353500,N552UW,2011-12-13
353794,N556UW,2012-08-04
354022,N348JB,2012-02-06
354023,N368JB,2013-05-21
354024,N644JB,2006-09-21
354025,N629JB,2005-11-04
354554,N560UW,2012-09-22
354566,N561UW,2012-10-19
354610,N562UW,2012-10-30
354712,N563UW,2012-12-08
354894,N681DA,1993-01-22
354999,N7714B,2012-03-27
355000,N466WN,2004-06-14
355002,N977UY,2012-12-13
355035,N567UW,2013-08-09
355122,N526UA,1991-01-22
355153,N979UY,2013-09-07
355213,N980UY,2013-10-24
355320,N572UW,2013-12-14
355346,N566AA,1987-06-13
355729,N818UA,1998-10-20
355794,N741EV,2004-08-16
355879,N16217,1999-07-01
356090,N573UW,2014-01-24
356097,N575UW,2014-02-21
356102,N201UU,1995-06-13
356110,N13964,1999-04-10
356112,N576UW,2014-03-20
356113,N578UW,2014-04-01
356114,N579UW,2014-05-16
356178,N580UW,2014-06-11
356200,N581UW,2014-06-20
356387,N565WN,2014-06-17
356452,N694DL,1998-11-10
356482,N298JB,2009-03-12
356648,N758EV,2005-04-29
357206,N317JB,2010-06-30
357390,N14177,2005-02-18
357539,N37437,2009-07-07
358089,N700UW,1998-11-23
358161,N14180,2005-03-25
358344,N18112,1995-02-01
358480,N921US,2015-04-18
358481,N923US,2015-04-11
358498,N913US,2014-08-30
358513,N919US,2015-02-26
359630,N7710A,2005-03-16
359826,N635JB,2006-04-05
359862,N554JB,2003-01-03
359905,N423WN,2002-03-28
359914,N455WN,2004-03-31
359921,N966AT,2001-09-07
360217,N847VA,2011-12-22
360274,N195UW,2008-09-09
360476,N153UW,2013-05-16
360629,N198UW,2013-02-13
360630,N199UW,2013-02-21
360859,N231WN,2006-02-26
360962,N7747C,2014-07-11
361005,N244WN,2006-06-24
361039,N368SW,1993-05-13
361193,N77066,2002-05-30
361288,N524UW,2009-07-21
361448,N14186,2005-06-30
361800,N7738A,2012-09-12
361840,N11187,2005-07-15
362106,N621JB,2005-07-22
362111,N14188,2005-07-21
362850,N495UA,2002-10-08
362851,N494UA,2002-09-27
362863,N345SA,2000-01-31
363182,N183JB,2005-09-14
363408,N584UW,2014-08-02
363409,N585UW,2014-08-05
363410,N586UW,2014-08-20
363763,N16571,2002-08-31
363895,N193JB,2006-01-06
363939,N625JB,2005-09-29
364102,N679AW,2005-12-06
364155,N279JB,2007-07-25
364232,N108UW,1999-09-27
364371,N624JB,2005-09-01
364657,N17730,1999-08-03
364660,N23707,1998-05-27
364661,N24224,1998-12-17
364662,N18119,1997-05-12
364663,N19966,1999-05-07
364668,N14118,1997-03-21
364669,N14115,1995-08-14
364670,N14950,1999-01-28
364881,N940AT,1999-11-03
364882,N961AT,2001-05-02
364960,N492AA,1989-02-08
365157,N16713,1998-09-23
365220,N18220,1998-11-04
365221,N24211,1998-07-26
365552,N12225,1998-12-21
365553,N12238,1999-10-07
365561,N78002,1998-09-28
365570,N76010,1999-05-27
365593,N33203,2000-06-21
365788,N224WN,2005-10-28
365936,N355NB,2002-12-09
366215,N7706A,2004-12-01
366221,N57863,2001-09-22
366286,N190JB,2005-12-01
366371,N770UW,2001-01-08
366449,N112US,2000-02-04
366529,N552JB,2003-01-03
366598,N13968,1999-06-04
366747,N13965,1999-04-15
366820,N710EV,2002-12-13
366879,N314US,1991-04-18
366905,N268WN,2007-03-05
366959,N227WN,2005-12-09
367251,N980AT,2002-10-15
367470,N486AA,1989-01-12
367508,N990AT,2002-05-24
367549,N582UW,2014-07-09
367837,N12195,2005-12-08
367878,N551AS,2006-02-02
367880,N499AA,1989-10-05
367951,N12967,1999-05-08
367952,N14959,1998-11-06
367969,N14198,2006-02-09
368251,N229WN,2006-01-28
368342,N590AA,1991-09-24
368578,N553AS,2006-03-30
368605,N11199,2006-02-23
368673,N634JB,2006-03-14
368736,N777UA,1995-05-15
368840,N39463,2012-11-27
369137,N35236,1999-09-09
369203,N76502,2006-08-08
369610,N471AS,2014-10-09
369807,N27200,2006-03-30
369847,N633JB,2006-02-02
370495,N674UA,2000-04-04
370532,N27246,1999-11-09
370558,N910AT,2001-03-26
370559,N921AT,2000-12-16
370720,N658DL,1990-05-24
370736,N7731A,2006-07-23
370781,N7825A,2015-08-06
370793,N7827A,2015-08-28
370798,N7828A,2015-08-20
370799,N7829B,2015-10-21
370806,N7831B,2015-10-02
370878,N7844A,2015-10-12
371249,N628VA,2007-01-19
371334,N21144,2005-02-25
371425,N235WN,2006-04-10
371444,N65832,2014-08-18
371706,N206JB,2006-04-20
371749,N402AS,2012-10-21
371860,N14203,2006-05-23
372191,N423AS,2013-04-30
372212,N433AS,2013-10-09
372327,N637JB,2006-05-24
372382,N523UW,2009-07-11
372482,N972AT,2002-01-31
372707,N570AS,2007-03-17
373080,N835UA,2001-03-01
373335,N625VA,2006-06-20
373761,N568JB,2003-09-30
373785,N920EV,2003-07-02
373901,N77871,2003-07-30
373937,N494WN,2004-12-12
374065,N14204,2006-06-22
374114,N736SA,1999-08-27
374115,N785SW,2000-11-01
374116,N715SW,1998-06-30
374117,N215WN,2005-06-02
374576,N568UA,1992-11-05
374792,N239JB,2006-08-16
374822,N18223,1998-12-16
374823,N587UW,2014-08-20
375041,N803SK,2006-08-18
375497,N789SW,2000-11-29
375498,N450WN,2004-01-07
375619,N527AS,2009-05-22
376490,N777QC,2000-07-28
376644,N915DL,1988-02-22
377348,N559AA,1991-05-20
377463,N639JB,2006-06-29
377798,N14991,2000-06-30
377931,N912UY,2014-09-10
377975,N76508,2008-02-10
378017,N7733B,2006-09-21
378093,N560WN,2000-05-31
378149,N254WN,2006-09-01
378675,N258WN,2006-10-14
378717,N265JB,2006-11-10
378728,N259WN,2006-10-30
378746,N627VA,2006-08-25
378921,N284WN,2007-07-23
379066,N982DL,1991-06-12
379146,N79279,2003-11-19
379446,N478AA,1988-11-10
379507,N623SW,1996-03-23
379649,N75432,2009-02-24
379824,N918DL,1988-05-01
379841,N3737C,2000-11-29
379857,N265WN,2007-02-02
380125,N636JB,2006-12-07
380143,N646JB,2006-11-16
380187,N564AA,1987-06-07
380244,N987DL,1991-10-16
380375,N177DN,1991-01-12
380595,N228PQ,2009-04-09
380891,N445WN,2003-12-03
381556,N960DL,1990-05-23
381626,N855VA,2012-06-22
381811,N377NW,2004-02-24
381815,N197UW,2009-06-04
382322,N181PQ,2008-05-29
382444,N263WN,2007-01-17
382719,N934WN,2009-04-21
382720,N935WN,2009-05-03
382797,N13718,1999-01-22
383761,N267JB,2007-02-28
383992,N228JB,2006-05-23
384318,N518UA,1990-09-14
384409,N656JB,2007-04-05
385029,N661JB,2007-09-08
385041,N930AT,2000-06-03
385119,N652UA,1992-09-30
385209,N16963,1999-03-06
385349,N519MQ,2000-06-20
385558,N14916,2001-04-21
385959,N39461,2012-10-29
386062,N19130,1998-05-07
386174,N963DL,1990-06-20
386699,N677UA,2001-09-21
386998,N583UW,2014-07-17
387043,N566WN,2015-03-18
387282,N7750A,2008-02-04
387295,N634VA,2008-01-15
387318,N590AS,2008-01-12
387798,N544UA,1991-11-08
388205,N16178,2005-02-18
388404,N497WN,2005-01-04
388626,N670SW,1993-06-05
388715,N593AS,2008-03-10
388848,N825UA,1999-04-26
388947,N538UW,2009-10-09
389009,N292JB,2008-06-10
389499,N305DQ,2008-12-16
389799,N7752B,2008-03-17
389845,N628SW,1996-05-28
390035,N943WN,2010-03-03
390054,N951WN,2010-08-28
390130,N26232,1999-06-24
390268,N954WN,2011-02-10
390911,N37422,2008-05-20
391140,N13566,2002-08-03
391249,N929WN,2008-08-01
392294,N356SW,1991-08-09
392363,N737JW,1999-08-30
392398,N16709,1998-08-30
392630,N703UW,1998-11-23
392632,N943AT,1999-09-23
392822,N709UW,1999-04-27
392824,N54711,1998-09-18
392876,N528UA,1991-02-19
392882,N546UA,1991-12-13
392889,N7724A,2013-09-23
392959,N178JB,2005-12-19
392970,N401UA,1993-12-13
393406,N916WN,2008-03-27
393425,N7816B,2015-05-27
393486,N37434,2009-10-28
393915,N510UW,2009-04-01
394205,N34455,2012-06-21
394303,N378SW,1994-02-18
394337,N916DL,1988-03-03
394405,N75429,2008-12-14
394415,N659SW,1985-05-20
394416,N77430,2009-01-13
394821,N361NB,2003-05-29
394863,N24103,2005-02-15
395186,N939AT,2006-05-19
395381,N351NW,1998-02-17
395834,N906WN,2008-01-21
396055,N536UW,2009-10-10
396307,N7818L,2015-06-22
396349,N358NW,1998-07-02
396424,N127UW,2010-02-25
396804,N568UW,2013-09-04
397137,N442UA,1998-03-16
397362,N7817J,2015-06-15
397394,N232WN,2006-03-02
397609,N558AA,1991-05-19
397672,N818AW,2000-12-06
397753,N516AS,2008-12-16
397909,N648SW,1997-06-20
398563,N66831,2014-07-28
398596,N29717,1999-01-22
398600,N27722,1999-04-14
401440,N166PQ,2008-04-04
402383,N186PQ,2008-07-24
403329,N550AA,2003-09-29
403619,N78438,2009-07-21
404271,N28457,2012-09-18
406741,N426AA,1986-11-26
415976,N621SW,1996-01-18
416318,N425AA,1968-10-17
421436,N75853,2015-01-26
421626,N69063,2002-04-02
424262,N14120,1996-07-30
425406,N38417,2008-03-11
426404,N432UA,1996-06-06
426431,N76529,2010-12-23
432873,N77510,2008-04-21
