,icon,precipIntensity,temperature,windSpeed,visibility,nyc_time,year,month,day,hour
84,fog,0.0,9.405555555555557,3.69,2.0,04/01/2015 12:00,2015,1,4,12
85,fog,0.0,9.994444444444447,8.05,1.498,04/01/2015 13:00,2015,1,4,13
86,cloudy,0.0,10.6,4.99,7.991,04/01/2015 14:00,2015,1,4,14
87,cloudy,0.0,11.105555555555558,4.42,7.995,04/01/2015 15:00,2015,1,4,15
88,cloudy,0.0,12.200000000000001,3.89,9.997,04/01/2015 16:00,2015,1,4,16
89,cloudy,0.0,12.799999999999999,3.0,9.997,04/01/2015 17:00,2015,1,4,17
90,cloudy,0.0,12.799999999999999,2.54,9.997,04/01/2015 18:00,2015,1,4,18
91,cloudy,0.0,13.299999999999999,3.53,9.997,04/01/2015 19:00,2015,1,4,19
92,rain,0.0118,11.694444444444443,3.88,8.441,04/01/2015 20:00,2015,1,4,20
93,rain,0.0197,11.694444444444443,5.83,9.997,04/01/2015 21:00,2015,1,4,21
94,rain,0.0118,10.6,14.99,9.997,04/01/2015 22:00,2015,1,4,22
95,cloudy,0.0,10.6,8.75,9.997,04/01/2015 23:00,2015,1,4,23
96,partly-cloudy,0.0,9.405555555555557,9.09,9.997,05/01/2015 00:00,2015,1,5,0
97,partly-cloudy,0.0,7.805555555555554,8.94,9.997,05/01/2015 01:00,2015,1,5,1
98,clear,0.0,7.194444444444446,7.25,9.997,05/01/2015 02:00,2015,1,5,2
99,clear,0.0,6.099999999999998,7.26,9.997,05/01/2015 03:00,2015,1,5,3
100,clear,0.0,5.594444444444445,6.73,9.997,05/01/2015 04:00,2015,1,5,4
101,clear,0.0,5.0,7.45,9.997,05/01/2015 05:00,2015,1,5,5
102,clear,0.0,4.400000000000001,8.47,9.997,05/01/2015 06:00,2015,1,5,6
103,clear,0.0,3.8944444444444435,7.34,9.997,05/01/2015 07:00,2015,1,5,7
104,partly-cloudy,0.0,3.2944444444444443,7.87,9.997,05/01/2015 08:00,2015,1,5,8
105,partly-cloudy,0.0,3.2944444444444443,8.2,9.997,05/01/2015 09:00,2015,1,5,9
106,partly-cloudy,0.0,3.2944444444444443,9.2,9.997,05/01/2015 10:00,2015,1,5,10
107,partly-cloudy,0.0,2.7999999999999994,8.86,9.997,05/01/2015 11:00,2015,1,5,11
108,partly-cloudy,0.0,1.8388888888888901,8.59,9.997,05/01/2015 12:00,2015,1,5,12
109,partly-cloudy,0.0,1.7055555555555557,9.06,9.997,05/01/2015 13:00,2015,1,5,13
110,partly-cloudy,0.0,1.6055555555555558,8.43,9.997,05/01/2015 14:00,2015,1,5,14
111,cloudy,0.0,1.0166666666666657,7.66,9.997,05/01/2015 15:00,2015,1,5,15
112,partly-cloudy,0.0,0.5944444444444446,6.18,9.997,05/01/2015 16:00,2015,1,5,16
113,clear,0.0,-0.5833333333333337,6.46,9.997,05/01/2015 17:00,2015,1,5,17
114,clear,0.0,-1.1055555555555547,5.79,9.997,05/01/2015 18:00,2015,1,5,18
115,clear,0.0,-1.7055555555555557,11.39,9.997,05/01/2015 19:00,2015,1,5,19
116,partly-cloudy,0.0,-3.2944444444444443,6.03,9.997,05/01/2015 20:00,2015,1,5,20
117,partly-cloudy,0.0,-3.9166666666666665,13.88,9.997,05/01/2015 21:00,2015,1,5,21
118,partly-cloudy,0.0,-4.98888888888889,4.71,9.997,05/01/2015 22:00,2015,1,5,22
119,partly-cloudy,0.0,-5.583333333333333,9.18,9.997,05/01/2015 23:00,2015,1,5,23
120,partly-cloudy,0.0,-6.683333333333334,4.66,9.997,06/01/2015 00:00,2015,1,6,0
121,partly-cloudy,0.0,-6.683333333333334,10.29,9.997,06/01/2015 01:00,2015,1,6,1
122,partly-cloudy,0.0,-7.194444444444445,5.82,9.997,06/01/2015 02:00,2015,1,6,2
123,partly-cloudy,0.0,-7.194444444444445,2.87,9.997,06/01/2015 03:00,2015,1,6,3
124,cloudy,0.0,-7.194444444444445,6.93,9.997,06/01/2015 04:00,2015,1,6,4
125,cloudy,0.0,-7.194444444444445,2.11,9.997,06/01/2015 05:00,2015,1,6,5
126,cloudy,0.0,-7.194444444444445,1.65,9.997,06/01/2015 06:00,2015,1,6,6
127,cloudy,0.0,-7.194444444444445,2.68,9.997,06/01/2015 07:00,2015,1,6,7
128,cloudy,0.0,-7.194444444444445,0.78,7.002,06/01/2015 08:00,2015,1,6,8
129,fog,0.0,-7.794444444444445,0.0,1.498,06/01/2015 09:00,2015,1,6,9
130,fog,0.0,-7.794444444444445,0.0,1.249,06/01/2015 10:00,2015,1,6,10
131,fog,0.0,-7.194444444444445,1.11,2.0,06/01/2015 11:00,2015,1,6,11
132,fog,0.0,-7.194444444444445,2.39,1.002,06/01/2015 12:00,2015,1,6,12
133,cloudy,0.0,-6.683333333333334,1.25,2.531,06/01/2015 13:00,2015,1,6,13
134,cloudy,0.0,-6.111111111111111,0.93,5.0,06/01/2015 14:00,2015,1,6,14
135,cloudy,0.0,-6.111111111111111,1.22,7.002,06/01/2015 15:00,2015,1,6,15
136,cloudy,0.0,-6.111111111111111,1.69,7.002,06/01/2015 16:00,2015,1,6,16
137,cloudy,0.0,-6.683333333333334,4.69,6.237,06/01/2015 17:00,2015,1,6,17
138,cloudy,0.0,-7.194444444444445,0.74,9.997,06/01/2015 18:00,2015,1,6,18
139,partly-cloudy,0.0,-7.194444444444445,1.21,9.997,06/01/2015 19:00,2015,1,6,19
140,partly-cloudy,0.0,-7.794444444444445,1.61,9.997,06/01/2015 20:00,2015,1,6,20
141,partly-cloudy,0.0,-7.794444444444445,1.48,9.997,06/01/2015 21:00,2015,1,6,21
142,partly-cloudy,0.0,-7.794444444444445,1.71,9.997,06/01/2015 22:00,2015,1,6,22
143,clear,0.0,-7.794444444444445,1.74,9.997,06/01/2015 23:00,2015,1,6,23
144,clear,0.0,-7.983333333333334,1.48,8.608,07/01/2015 00:00,2015,1,7,0
145,clear,0.0,-8.277777777777779,1.8,9.997,07/01/2015 01:00,2015,1,7,1
146,partly-cloudy,0.0,-8.277777777777779,2.4,9.997,07/01/2015 02:00,2015,1,7,2
